ProductName,TotalQuantity,TotalSellingValue,TotalBuyValue,Total profit,product,category
FUGOFASTGROSTARTERCRUMBS1KG,97.5,9750,8580,114075,feeds,poultry
VIBEXPLUS*1BOLUS,71,7100,3550,252050,dewormer,pet
VITAGENKIENYEJIMASH1KG,31,1395,961,13454,feeds,poultry
NEWCASTLE100DOSES,25,6250,4250,50000,vaccine,poultry
TYLODOXI25GM,23,5750,3105,60835,antibiotics,poultry
BACTROLURECOMPLETETRAP1UNIT,18,4500,3618,15876,insecticide,agro
KITUIWHEATPOLLARD50KG,18,33300,29700,64800,feeds,pigs&cattle
TIKDIP522.5EC*20ML,18,3600,1800,32400,acaricide,cattle
VECTOCLORPLUS25ML,15,3000,2145,12825,acaricide,cattle
ACTELLIC-SUPER019DP*50GM,13,1560,1079,6253,insecticide,grain
GUMBORO100DOSES,12,3600,2520,12960,vaccine,poultry
PETD1TABLTD),12,360,120,2880,dewormer,pet
VITAGENKIENYEJIMASH70KG,11,30800,24200,72600,feeds,poultry
SUPERSKAJCYCLINE30GM,10,2500,950,15500,antibiotics,poultry
OSHOTHANEPLUS50GM,10,1000,610,3900,fungicide,agro
TYLODOXY20025GM,10,2500,1350,11500,antibiotics,poultry
FUGOLAYERCOMPLEATMEAL1KG,10,750,650,1000,feeds,poultry
TIKDIP522.5EC*100ML,10,6500,3800,27000,acaricide,cattle
POULTRYDUST400GM,10,3500,1750,17500,acaricide powder,poultry
MACLIKSUPER2KG,10,5500,4690,8100,mineral powder salts,cattle
MINELICKREDBLOCK2KGMINELICK,10,3000,1300,17000,mineral block salts,cattle
LEVACIDEPOULTRY50ML,9,1350,756,5346,dewormer,poultry
SEVINDUDU075WP100GM,9,1080,882,1782,acaricide powder,house hold
POULTRYDUST200GM,9,1620,927,6237,acaricide powder,poultry
JEMCHEMMAGICPIG1KGJEMCHEMESSENTIALS,9,1350,720,5670,mineral powder salts,pigs
FEDODIAZOL28ML,8,1200,624,4608,insecticide,agro
MAPATODOGMEAL10KG,8,4400,3840,4480,feeds,pet
SUPERBOOSTERFOLIARFERTILISER1L,8,2000,800,9600,foliar feed,agro
KITUIMILLERSMAIZEGERM50KG,8,14000,12000,16000,feeds,cattle
TETRACYCLINESKINOINT20G20GM,7,560,210,2450,skin ointment,poultry
CYCLOTRON450EC*50ML,7,1260,945,2205,insecticide,agro
DUODIP550EC*20ML,7,1400,1029,2597,acaricide,cattle
KITUIWHEATBRAN40KG,7,8000,6300,11900,feeds,pigs&cattle
SEVINPETDUST200GM,7,1260,840,2940,acaricide powder,pet
TINGA-TINGA380SC500ML,7,5950,4886,7448,herbicide,agro
NEWCASTLE+IB200DOSES,6,2450,2040,2460,vaccine,poultry
COCCIDPOWDER30GM,6,900,642,1548,antibiotics,poultry
ATOM025EC50ML,6,900,504,2376,insecticide,agro
ROCKALUM250GM,6,900,450,2700,disinfectant,house hold
FUGOFASTGROSTARTERCRUMBS50KG,6,27000,25140,11160,feeds,poultry
POULTRYDUST100GM,6,720,420,1800,acaricide,poultry
EGOCINCHICKFORMULA*25GMLTD),6,600,300,1800,supplement,poultry
KAUSHA480SL1L,6,4500,3300,7200,herbicide,agro
GRADOMETOR480EC250ML,5,3250,2095,5775,termicide,agro
ACTELLIC-SUPER019DP*100GM,5,900,630,1350,insecticide,grain
NEOCIDOL600EW28ML,5,750,580,850,insecticide,house hold
CHALIDUDUDUST100GM,5,600,400,1000,acaricide powder,house hold
BEDLAM200SL15ML,5,750,480,1350,insecticide,house hold
CHALIDUDUDUST200GM,5,900,525,1875,acaricide powder,house hold
VECTOCLORPLUS50ML,5,1750,1375,1875,acaricide,cattle
NORBROOKMILKINGSALVE250GM,5,1250,930,1600,salve,cattle
MINE-LICKMAZIWABLOCK2KG,5,1500,700,4000,mineral block salts,cattle
MINELICKREDBLOCK3KGMINELICK,5,2000,925,5375,mineral block salts,cattle
MAPATOKIENYEJIMASH10KG,5,1750,0,8750,feeds,poultry
MSVLIGHTKAOLIN250GMMSV,5,750,150,3000,supplement,all purpose
NORBROOKMILKINGSALVE500GM,5,2000,1490,2550,salve,cattle
VETPROMILKBLOCK2KG,5,1750,1250,2500,mineral block salts,cattle
ESCORT019EC50ML,5,1750,1315,2175,insecticide,agro
ICON10WP62.5GM,5,6000,4750,6250,insecticide,house hold
PEMBEDAIRYMEAL50KG,5,12000,10250,8750,feeds,cattle
TINGATINGATOP500SC500ML,5,4750,4100,3250,herbicide,agro
NOBIVACDHLP1DOSES,5,3250,2750,2500,vaccine,poultry
MINELICKREDBLOCK1KGMINELICK,4,600,360,960,mineral block salts,cattle
RANGER480EC100ML,4,1400,808,2368,insecticide,agro
SUPERBOOSTERFOLIARFERTILISER500ML,4,600,240,1440,foliar feed,agro
SIDAIPOULTRYVITAMINS100GM,4,1200,780,1680,poultry vitamin,poultry
ALISERYLWS*30GM,4,1000,792,832,antibiotics,poultry
MSVDCP250GMMSV,4,400,160,960,supplement,all purpose
VETPROMBUZIBLOCK2KG,4,1200,560,2560,mineral block salts,mduzi
